MIC,OPERATING MIC,OPRT/SGMT,ISO COUNTRY CODE (ISO 3166),STATUS
BUYN,XLCH,SGMT,GB,ACTIVE
BVCA,BVCA,OPRT,VE,ACTIVE
BVMF,BVMF,OPRT,BR,ACTIVE
BVUK,XMTS,SGMT,GB,ACTIVE
BVUR,BVUR,OPRT,UY,ACTIVE
BVUS,MTUS,SGMT,US,EXPIRED
BXDA,BXDA,OPRT,CH,ACTIVE
BYXD,XCBO,SGMT,US,ACTIVE
BZXD,XCBO,SGMT,US,ACTIVE
C2OX,XCBO,SGMT,US,ACTIVE
CABK,CABK,OPRT,ES,ACTIVE
CABV,CABV,OPRT,NL,ACTIVE
CAES,CRED,SGMT,US,ACTIVE
CALH,CALH,OPRT,US,ACTIVE
CAND,CAND,OPRT,CA,ACTIVE
CANX,CANX,OPRT,CA,ACTIVE
CAPA,CCXE,SGMT,NL,ACTIVE
CAPI,CAPI,OPRT,ES,ACTIVE
CAPL,CAPL,OPRT,PL,ACTIVE
CAPT,CAPT,OPRT,GB,ACTIVE
CASI,CASI,OPRT,SE,ACTIVE
CAST,CAST,OPRT,US,ACTIVE
CATS,CATS,OPRT,DE,ACTIVE
CAVD,CAVD,OPRT,NL,ACTIVE
CAVE,OTCM,SGMT,US,ACTIVE
CAZE,CAZE,OPRT,GB,EXPIRED
CBAE,CBAE,OPRT,NL,ACTIVE
CBAL,CBAL,OPRT,GB,ACTIVE
CBKA,CBKA,OPRT,DE,ACTIVE
CBKC,CBKA,SGMT,DE,ACTIVE
CBKD,CBKA,SGMT,DE,ACTIVE
CBKE,CBKA,SGMT,DE,ACTIVE
CBKF,CBKA,SGMT,DE,ACTIVE
CBKG,CBKA,SGMT,DE,ACTIVE
CBKS,CBKA,SGMT,DE,ACTIVE
CBLC,CGMI,SGMT,US,EXPIRED
CBLP,CBLP,OPRT,GB,ACTIVE
CBMS,CBMS,OPRT,ZA,ACTIVE
CBNL,CBNL,OPRT,GB,ACTIVE
CBOE,CBOE,OPRT,CH,ACTIVE
CBSK,CBSK,OPRT,SK,ACTIVE
CBSX,XCBO,SGMT,US,ACTIVE
CBTS,XCME,SGMT,US,ACTIVE
CCDA,CCDA,OPRT,US,ACTIVE
CCEU,CCEU,OPRT,GB,ACTIVE
CCEX,CCEX,OPRT,KZ,ACTIVE
CCFE,CCFE,OPRT,US,EXPIRED
CCFX,CCFX,OPRT,CN,ACTIVE
CCLX,CCLX,OPRT,LU,ACTIVE
CCML,CCML,OPRT,GB,ACTIVE
CCMS,CCMS,OPRT,CH,ACTIVE
CCMX,CCMX,OPRT,US,ACTIVE
CCO2,CCO2,OPRT,GB,EXPIRED
CCRM,CCRM,OPRT,NL,ACTIVE
CCXE,CCXE,OPRT,NL,ACTIVE
CDED,CDED,OPRT,US,ACTIVE
CDEL,CDEL,OPRT,US,EXPIRED
CDNA,CDNA,OPRT,US,ACTIVE
CDSI,CSDA,SGMT,DE,ACTIVE
CDSL,CDSL,OPRT,IN,ACTIVE
CECA,CECA,OPRT,ES,ACTIVE
CECS,XCME,SGMT,US,ACTIVE
